    year     value1        value2
    1880   -0.0228571   -0.0600000
    1881   -0.0600000    0.0900000
    1882    -0.111429   -0.0700000
    1883    -0.165714   -0.0700000
    1884    -0.200000   -0.0600000
    1885     0.160000   -0.0200000
    1886   -0.0857143   0.00999999
    1887    -0.222857    -0.140000
    1888    -0.108571     0.130000
    1889    -0.251429     0.160000
    1890    0.0742857    -0.270000
    1891  -0.00285714   -0.0400000
    1892    -0.314286    -0.150000
    1893    -0.254286    -0.230000
    1894    -0.188571    -0.290000
    1895    -0.105714   -0.0200000
    1896    -0.317143     0.190000
    1897    -0.242857     0.230000
    1898    -0.314286   -0.0700000
    1899   -0.0342857    0.0500000
    1900    0.0942857     0.200000
    1901    -0.100000    0.0600000
    1902    -0.125714    0.0900000
    1903    -0.265714    -0.120000
    1904     0.142857    -0.190000
    1905    0.0657143   -0.0300000
    1906    -0.145714   -0.0100000
    1907    -0.171429    -0.180000
    1908    -0.165714    -0.220000
    1909   -0.0457143    -0.150000
    1910    -0.100000    -0.230000
    1911    -0.168571    -0.210000
    1912    0.0542857      0.00000
    1913   -0.0800000    -0.140000
    1914    -0.162857      0.00000
    1915   -0.0142857     0.190000
    1916    0.0600000    -0.120000
    1917    -0.222857    -0.300000
    1918    -0.100000    -0.190000
    1919   -0.0171429    0.0600000
    1920    -0.305714   -0.0500000
    1921    -0.182857   -0.0400000
    1922    -0.137143   -0.0900000
    1923   -0.0771429   -0.0700000
    1924     0.140000   -0.0200000
    1925    -0.211429   -0.0400000
    1926   -0.0200000     0.240000
    1927    0.0428571     0.100000
    1928    0.0314286    0.0900000
    1929    0.0571429      0.00000
    1930   -0.0800000     0.130000
    1931     0.125714     0.280000
    1932     0.140000     0.100000
    1933     0.125714    0.0600000
    1934    -0.222857    0.0600000
    1935   -0.0400000    0.0900000
    1936   0.00285715     0.170000
    1937   -0.0857143     0.270000
    1938    -0.185714     0.240000
    1939   0.00571428     0.130000
    1940     0.142857     0.220000
    1941   -0.0571429     0.470000
    1942    0.0685714     0.260000
    1943    -0.162857     0.140000
    1944    -0.354286     0.340000
    1945   -0.0542857     0.300000
    1946   -0.0742857     0.140000
    1947      0.00000     0.140000
    1948    -0.208571    0.0800000
    1949    -0.114286    0.0700000
    1950    0.0857143   -0.0600000
    1951  -0.00571428     0.110000
    1952     0.174286     0.220000
    1953    0.0514286     0.230000
    1954     0.165714    0.0400000
    1955   -0.0285714   -0.0500000
    1956    -0.160000   -0.0800000
    1957     0.151429     0.240000
    1958     0.140000     0.360000
    1959   -0.0228571     0.260000
    1960     0.128571     0.230000
    1961     0.171429     0.170000
    1962   -0.0714286     0.150000
    1963    -0.351429     0.270000
    1964    -0.185714    0.0500000
    1965     0.145714     0.120000
    1966    -0.245714     0.250000
    1967   -0.0257143    0.0700000
    1968    0.0457143     0.130000
    1969   -0.0657143     0.470000
    1970    -0.154286     0.240000
    1971    -0.214286   -0.0600000
    1972     0.125714     0.300000
    1973    -0.300000     0.310000
    1974      0.00000   -0.0200000
    1975    0.0200000   -0.0500000
    1976    -0.182857    0.0200000
    1977     0.117143     0.260000
    1978   -0.0742857     0.180000
    1979    -0.291429     0.320000
    1980   -0.0371429     0.370000
    1981   -0.0857143     0.250000
    1982    -0.305714     0.290000
    1983    -0.265714     0.490000
    1984    -0.257143     0.280000
    1985    0.0200000     0.210000
    1986   -0.0457143     0.320000
    1987    -0.194286     0.620000
    1988    -0.220000     0.470000
    1989    -0.128571     0.260000
    1990    -0.231429     0.460000
    1991    -0.337143     0.440000
    1992    -0.145714     0.350000
    1993    -0.154286     0.430000
    1994   -0.0771429     0.420000
    1995   -0.0542857     0.560000
    1996    -0.314286     0.480000
    1997   -0.0685714     0.620000
    1998    0.0371429     0.810000
    1999    -0.180000     0.410000
    2000    -0.134286     0.390000
